t,dr,cr,cr2a,cr2b,pv,fdr,fcr,T,Vpz1,Vpz2,Vpzbg,Vadcbg
1502799562.542696, 0.780, 0.780, 1.502, 1.492, 8, 0.780, 0.780, 0.000, 0.73798828125, 0.00322265625, 0.0064453125, 0.0064453125 
1502799562.644529, 0.180, 0.799, 1.534, 1.518, 8, 0.180, 0.799, 0.000, 0.75087890625, 0.0064453125, 0.0064453125, 0.0064453125 
1502799562.746975, 0.177, 0.790, 1.508, 1.492, 8, 0.177, 0.790, 0.000, 0.734765625, 0.00322265625, 0.00322265625, 0.00322265625 
1502799562.849484, 0.625, 0.780, 1.502, 1.492, 8, 0.625, 0.780, 0.000, 0.734765625, 0.0064453125, 0.0064453125, 0.0064453125 
1502799562.956989, 0.103, 0.790, 1.534, 1.511, 8, 0.103, 0.790, 0.000, 0.73798828125, 0.0, 0.0, 0.0 
1502799563.059377, 0.635, 0.780, 1.511, 1.502, 8, 0.635, 0.780, 0.000, 0.734765625, 0.0, 0.00322265625, 0.00322265625 
1502799563.161621, 0.132, 0.780, 1.518, 1.502, 8, 0.132, 0.780, 0.000, 0.734765625, 0.02900390625, 0.0064453125, 0.0064453125 
1502799563.263486, 0.645, 0.780, 1.511, 1.511, 8, 0.645, 0.780, 0.000, 0.7283203125, 0.0064453125, 0.0064453125, 0.0064453125 
1502799563.365281, 0.139, 0.780, 1.502, 1.502, 8, 0.139, 0.780, 0.000, 0.734765625, 0.0064453125, 0.00322265625, 0.00322265625 
1502799563.467146, 0.142, 0.780, 1.508, 1.489, 8, 0.142, 0.780, 0.000, 0.7283203125, 0.0064453125, 0.0064453125, 0.0064453125 
1502799563.569191, 0.677, 0.780, 1.511, 1.502, 8, 0.677, 0.780, 0.000, 0.7283203125, 0.0064453125, 0.0064453125, 0.0064453125 
1502799563.671303, 0.013, 0.780, 1.508, 1.502, 8, 0.013, 0.780, 0.000, 0.7283203125, 0.00322265625, 0.0, 0.0 
1502799563.773187, 0.770, 0.780, 1.534, 1.476, 8, 0.770, 0.780, 0.000, 0.72509765625, 0.0, 0.0, 0.00322265625 
1502799563.875082, 0.045, 0.780, 1.511, 1.492, 8, 0.045, 0.780, 0.000, 0.7283203125, 0.0, 0.0, 0.0 
1502799563.976926, 0.770, 0.777, 1.502, 1.492, 8, 0.770, 0.777, 0.000, 0.7283203125, 0.00322265625, 0.00322265625, 0.0064453125 
1502799564.078799, 0.026, 0.777, 1.511, 1.473, 8, 0.026, 0.777, 0.000, 0.7283203125, 0.0, 0.0, 0.0 
1502799564.181448, 0.735, 0.819, 1.579, 1.560, 52, 0.735, 0.819, 0.000, 0.75087890625, 0.02578125, 0.012890625, 0.01611328125 
1502799564.283089, 0.686, 0.780, 1.511, 1.476, 7, 0.686, 0.780, 0.000, 0.71865234375, 0.00322265625, 0.00322265625, 0.00322265625 
1502799564.384401, 0.664, 0.854, 1.647, 1.611, 93, 0.664, 0.854, 0.000, 0.73798828125, 0.04189453125, 0.01611328125, 0.02578125 
