t,dr,fdr,cra,crb,pv,T,Vpz
1504175863.394432, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.97646484375 
1504175863.496109, 1.647, 1.647, 0.799, 0.799, 48, 0.000, 0.94423828125 
1504175863.597777, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.95068359375 
1504175863.699375, 1.647, 1.647, 0.799, 0.799, 48, 0.000, 0.9603515625 
1504175863.800903, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.95068359375 
1504175863.902491, 1.647, 1.647, 0.812, 0.799, 48, 0.000, 0.97646484375 
1504175864.004072, 1.647, 1.647, 0.799, 0.799, 48, 0.000, 0.9603515625 
1504175864.107863, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.941015625 
1504175864.211241, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.95068359375 
1504175864.313088, 1.647, 1.647, 0.799, 0.799, 48, 0.000, 0.95712890625 
1504175864.414730, 1.647, 1.647, 0.799, 0.812, 48, 0.000, 0.95068359375 
1504175864.516369, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.95068359375 
1504175864.617998, 1.647, 1.647, 0.799, 0.799, 48, 0.000, 0.97646484375 
1504175864.719552, 1.647, 1.647, 0.799, 0.799, 48, 0.000, 0.95068359375 
1504175864.821092, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.95068359375 
1504175864.922661, 1.647, 1.647, 0.799, 0.799, 48, 0.000, 0.95712890625 
1504175865.024159, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.95068359375 
1504175865.127908, 1.647, 1.647, 0.799, 0.799, 56, 0.000, 0.97646484375 
1504175865.229901, 1.647, 1.647, 0.799, 0.799, 56, 0.000, 0.97646484375 
1504175865.331739, 1.647, 1.647, 0.799, 0.799, 56, 0.000, 0.941015625 
1504175865.433422, 1.647, 1.647, 0.799, 0.799, 56, 0.000, 0.941015625 
1504175865.535034, 1.647, 1.647, 0.799, 0.812, 56, 0.000, 0.95068359375 
1504175865.636587, 1.647, 1.647, 0.812, 0.812, 56, 0.000, 0.95068359375 
1504175865.738166, 1.647, 1.647, 0.812, 0.812, 56, 0.000, 0.95068359375 
1504175865.839671, 1.647, 1.647, 0.812, 0.799, 56, 0.000, 0.95068359375 
1504175865.941268, 1.647, 1.647, 0.812, 0.799, 56, 0.000, 0.9345703125 
1504175866.042822, 1.647, 1.647, 0.812, 0.812, 56, 0.000, 0.941015625 
1504175866.147900, 1.647, 1.647, 0.799, 0.812, 56, 0.000, 0.95068359375 
1504175866.249998, 1.647, 1.647, 0.812, 0.812, 56, 0.000, 0.941015625 
1504175866.351921, 1.647, 1.647, 0.799, 0.799, 56, 0.000, 0.95068359375 
1504175866.453555, 1.647, 1.647, 0.812, 0.812, 56, 0.000, 0.941015625 
1504175866.555107, 1.647, 1.647, 0.812, 0.812, 56, 0.000, 0.941015625 
1504175866.656621, 1.647, 1.647, 0.799, 0.799, 56, 0.000, 0.94423828125 
1504175866.758187, 1.647, 1.647, 0.812, 0.812, 56, 0.000, 0.95068359375 
1504175866.859874, 1.647, 1.647, 0.812, 0.812, 56, 0.000, 0.95068359375 
1504175866.961550, 1.647, 1.647, 0.799, 0.812, 56, 0.000, 0.95068359375 
1504175867.063148, 1.647, 1.647, 0.799, 0.799, 56, 0.000, 0.941015625 
1504175867.165320, 1.647, 1.647, 0.799, 0.799, 56, 0.000, 0.9345703125 
1504175867.267507, 1.647, 1.647, 0.799, 0.799, 56, 0.000, 0.941015625 
1504175867.369543, 1.647, 1.647, 0.812, 0.812, 56, 0.000, 0.941015625 
1504175867.471173, 1.647, 1.647, 0.799, 0.799, 56, 0.000, 0.94423828125 
1504175867.572825, 1.647, 1.647, 0.812, 0.812, 56, 0.000, 0.941015625 
1504175867.674566, 1.647, 1.647, 0.799, 0.799, 56, 0.000, 0.928125 
1504175867.776149, 1.647, 1.647, 0.799, 0.812, 56, 0.000, 0.941015625 
1504175867.877735, 1.647, 1.647, 0.799, 0.812, 56, 0.000, 0.941015625 
1504175867.979302, 1.647, 1.647, 0.799, 0.812, 56, 0.000, 0.941015625 
1504175868.080839, 1.647, 1.647, 0.812, 0.799, 56, 0.000, 0.95068359375 
1504175868.187899, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.9345703125 
1504175868.289963, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.9345703125 
1504175868.391777, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.94423828125 
1504175868.493353, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.941015625 
1504175868.594919, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.95068359375 
1504175868.696565, 1.647, 1.647, 0.812, 0.812, 64, 0.000, 0.941015625 
1504175868.798234, 1.647, 1.647, 0.812, 0.799, 64, 0.000, 0.941015625 
1504175868.899750, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.94423828125 
1504175869.001314, 1.647, 1.647, 0.812, 0.799, 64, 0.000, 0.941015625 
1504175869.102852, 1.647, 1.647, 0.799, 0.812, 64, 0.000, 0.95068359375 
1504175869.204815, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.95068359375 
1504175869.308278, 1.647, 1.647, 0.812, 0.799, 64, 0.000, 0.941015625 
1504175869.410141, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.9345703125 
1504175869.511727, 1.647, 1.647, 0.812, 0.812, 64, 0.000, 0.9345703125 
1504175869.613268, 1.647, 1.647, 0.799, 0.812, 64, 0.000, 0.941015625 
1504175869.714835, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.9345703125 
1504175869.816382, 1.647, 1.647, 0.812, 0.812, 64, 0.000, 0.89912109375 
1504175869.917977, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.9345703125 
1504175870.019490, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.89267578125 
1504175870.121024, 1.647, 1.647, 0.812, 0.812, 64, 0.000, 0.93134765625 
1504175870.223144, 1.647, 1.647, 0.812, 0.812, 64, 0.000, 0.92490234375 
1504175870.325318, 1.647, 1.647, 0.812, 0.799, 64, 0.000, 0.8830078125 
1504175870.427189, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.88623046875 
1504175870.528850, 1.647, 1.647, 0.799, 0.812, 64, 0.000, 0.88623046875 
1504175870.630370, 1.647, 1.647, 0.812, 0.812, 64, 0.000, 0.89912109375 
1504175870.731969, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.89912109375 
1504175870.833488, 1.647, 1.647, 0.799, 0.799, 64, 0.000, 0.8830078125 
1504175870.935023, 1.647, 1.647, 0.812, 0.799, 64, 0.000, 0.8830078125 
1504175871.036602, 1.647, 1.647, 0.799, 0.812, 64, 0.000, 0.88623046875 
1504175871.138219, 1.647, 1.647, 0.799, 0.812, 64, 0.000, 0.89912109375 
1504175871.247914, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.92490234375 
1504175871.349912, 1.647, 1.647, 0.812, 0.799, 72, 0.000, 0.8830078125 
1504175871.451599, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.88623046875 
1504175871.553233, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.89267578125 
1504175871.654764, 1.647, 1.647, 0.812, 0.812, 72, 0.000, 0.928125 
1504175871.756274, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.928125 
1504175871.857809, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.88623046875 
1504175871.959371, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.9345703125 
1504175872.060899, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.92490234375 
1504175872.162458, 1.647, 1.647, 0.812, 0.799, 72, 0.000, 0.9345703125 
1504175872.264075, 1.647, 1.647, 0.812, 0.799, 72, 0.000, 0.928125 
1504175872.365981, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.92490234375 
1504175872.467755, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.9345703125 
1504175872.569391, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.93134765625 
1504175872.671211, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.941015625 
1504175872.772824, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.928125 
1504175872.874430, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.9345703125 
1504175872.976008, 1.647, 1.647, 0.812, 0.799, 72, 0.000, 0.9345703125 
1504175873.077527, 1.647, 1.647, 0.812, 0.799, 72, 0.000, 0.941015625 
1504175873.179201, 1.647, 1.647, 0.812, 0.799, 72, 0.000, 0.94423828125 
1504175873.280845, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.9345703125 
1504175873.382614, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.941015625 
1504175873.484478, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.941015625 
1504175873.586176, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.95068359375 
1504175873.687780, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.95068359375 
1504175873.789378, 1.647, 1.647, 0.799, 0.799, 72, 0.000, 0.941015625 
1504175873.891096, 1.647, 1.647, 0.812, 0.812, 72, 0.000, 0.95068359375 
1504175873.992818, 1.647, 1.647, 0.799, 0.812, 72, 0.000, 0.941015625 
1504175874.094449, 1.647, 1.647, 0.812, 0.812, 72, 0.000, 0.95068359375 
1504175874.196041, 1.647, 1.647, 0.799, 0.812, 72, 0.000, 0.941015625 
1504175874.297585, 1.647, 1.647, 0.812, 0.812, 72, 0.000, 0.94423828125 
1504175874.399239, 1.647, 1.647, 0.799, 0.799, 80, 0.000, 0.95712890625 
1504175874.501171, 1.647, 1.647, 0.812, 0.799, 80, 0.000, 0.95068359375 
