t,spd0,spd1,spd2,spd3,spd4,spd5,Vcr,adc0,dc,T,Vpz,Vms
1509364100.842912, 0.000, 364.194, 3.140, 3.140, 3.140, 3.140, 2.681, 0.023, 20.000, 17.000, 0.109677419355, 1.613 
1509364100.854532, 377.750, 364.194, 3.140, 3.140, 3.140, 3.140, 2.642, 0.000, 20.000, 17.000, 0.0, 1.600 
1509364100.866428, 377.750, 382.692, 3.140, 3.140, 3.140, 3.140, 2.652, 0.058, 20.000, 17.000, 0.18064516129, 1.600 
1509364100.878233, 377.750, 382.692, 3.140, 3.140, 3.140, 3.140, 2.642, 0.000, 20.000, 17.000, 0.0, 1.587 
1509364100.889823, 377.750, 382.692, 3.140, 3.140, 3.140, 3.140, 2.681, 0.052, 20.000, 17.000, 0.138709677419, 1.600 
1509364100.901549, 396.490, 392.730, 3.140, 3.140, 3.140, 3.140, 2.581, 0.000, 20.000, 17.000, 0.0645161290323, 1.587 
1509364100.913130, 396.490, 392.730, 3.140, 3.140, 3.140, 3.140, 2.658, 0.000, 20.000, 17.000, 0.0, 1.587 
1509364100.924754, 396.490, 392.730, 3.140, 3.140, 3.140, 3.140, 2.652, 0.045, 20.000, 17.000, 0.151612903226, 1.587 
1509364100.936364, 413.292, 414.708, 3.140, 3.140, 3.140, 3.140, 2.639, 0.000, 20.000, 17.000, 0.0, 1.587 
1509364100.947912, 413.292, 414.708, 3.140, 3.140, 3.140, 3.140, 2.665, 0.068, 20.000, 17.000, 0.190322580645, 1.587 
