t,dr,cr,cr2a,cr2b,pv,fdr,fcr,T
1497271553.078884, 1.260, 1.805, 2.604, 2.527, 80, 1.260, 1.805, 20.500 
1497271553.998988, 1.273, 1.782, 2.565, 2.433, 80, 1.273, 1.782, 20.500 
1497271554.918975, 1.608, 1.785, 2.630, 2.530, 80, 1.608, 1.785, 20.500 
1497271555.838894, 1.173, 1.737, 2.494, 2.391, 117, 1.173, 1.737, 20.500 
1497271556.758934, 1.511, 1.830, 2.630, 2.552, 88, 1.511, 1.830, 20.500 
1497271557.679003, 1.402, 1.814, 2.614, 2.546, 88, 1.402, 1.814, 20.500 
1497271558.598876, 1.192, 1.785, 2.601, 2.475, 88, 1.192, 1.785, 20.500 
1497271559.518998, 1.341, 1.818, 2.601, 2.485, 88, 1.341, 1.818, 20.500 
1497271560.438991, 1.579, 1.782, 2.601, 2.514, 88, 1.579, 1.782, 20.500 
1497271561.358985, 1.808, 1.782, 2.607, 2.552, 88, 1.808, 1.782, 20.500 
1497271562.278987, 1.586, 1.795, 2.572, 2.462, 128, 1.586, 1.795, 20.500 
1497271563.198967, 1.428, 1.876, 2.704, 2.588, 88, 1.428, 1.876, 20.500 
1497271564.119011, 1.673, 1.830, 2.630, 2.520, 88, 1.673, 1.830, 20.500 
1497271565.038887, 1.305, 1.792, 2.617, 2.527, 88, 1.305, 1.792, 20.500 
1497271565.959036, 1.241, 1.824, 2.639, 2.539, 88, 1.241, 1.824, 20.500 
1497271566.898994, 1.241, 1.824, 2.556, 2.459, 88, 1.241, 1.824, 20.500 
1497271567.818886, 1.315, 1.792, 2.572, 2.494, 88, 1.315, 1.792, 20.500 
1497271568.738985, 1.470, 1.785, 2.572, 2.433, 88, 1.470, 1.785, 20.500 
1497271569.658957, 1.602, 1.785, 2.575, 2.443, 12, 1.602, 1.785, 20.500 
1497271570.578954, 0.757, 1.756, 2.514, 2.411, 88, 0.757, 1.756, 20.500 
1497271571.498990, 1.766, 1.824, 2.643, 2.517, 88, 1.766, 1.824, 20.500 
1497271572.418878, 1.763, 1.785, 2.552, 2.449, 88, 1.763, 1.785, 20.500 
1497271573.338857, 1.444, 1.818, 2.649, 2.530, 88, 1.444, 1.818, 20.500 
1497271574.258890, 1.347, 1.785, 2.565, 2.452, 88, 1.347, 1.785, 20.500 
1497271575.179011, 1.254, 1.792, 2.597, 2.449, 88, 1.254, 1.792, 20.500 
1497271576.098982, 1.392, 1.792, 2.604, 2.527, 6, 1.392, 1.792, 20.500 
1497271577.018953, 1.186, 1.876, 2.678, 2.485, 96, 1.186, 1.876, 20.500 
1497271577.938889, 1.470, 1.843, 2.668, 2.504, 96, 1.470, 1.843, 20.500 
1497271578.859002, 1.460, 1.789, 2.552, 2.449, 96, 1.460, 1.789, 20.500 
1497271579.778882, 1.437, 1.779, 2.565, 2.449, 96, 1.437, 1.779, 20.500 
1497271580.699011, 1.573, 1.814, 2.597, 2.459, 96, 1.573, 1.814, 20.500 
1497271581.619008, 1.347, 1.830, 2.633, 2.536, 96, 1.347, 1.830, 20.500 
1497271582.538977, 1.863, 1.830, 2.649, 2.475, 61, 1.863, 1.830, 20.500 
1497271583.458986, 1.292, 1.840, 2.701, 2.552, 96, 1.292, 1.840, 20.500 
1497271584.379008, 1.331, 1.830, 2.681, 2.536, 96, 1.331, 1.830, 20.500 
1497271585.298880, 1.624, 1.792, 2.568, 2.469, 96, 1.624, 1.792, 20.500 
1497271586.218855, 1.679, 1.834, 2.675, 2.501, 96, 1.679, 1.834, 20.500 
1497271587.139006, 1.399, 1.789, 2.581, 2.498, 96, 1.399, 1.789, 20.500 
1497271588.059015, 1.582, 1.785, 2.588, 2.485, 96, 1.582, 1.785, 20.500 
1497271588.978890, 1.247, 1.782, 2.572, 2.494, 65, 1.247, 1.782, 20.500 
1497271589.898957, 1.254, 1.824, 2.607, 2.536, 96, 1.254, 1.824, 20.500 
1497271590.819103, 1.144, 1.798, 2.562, 2.478, 96, 1.144, 1.798, 20.500 
1497271591.738886, 1.618, 1.798, 2.552, 2.452, 96, 1.618, 1.798, 20.500 
1497271592.658905, 1.505, 1.795, 2.639, 2.546, 96, 1.505, 1.795, 20.500 
1497271593.579008, 1.305, 1.840, 2.552, 2.481, 96, 1.305, 1.840, 20.500 
1497271594.498968, 1.634, 1.805, 2.539, 2.485, 68, 1.634, 1.805, 20.500 
1497271595.418977, 1.138, 1.792, 2.536, 2.469, 0, 1.138, 1.792, 20.500 
1497271596.338922, 0.960, 1.908, 2.720, 2.649, 104, 0.960, 1.908, 20.500 
1497271597.259018, 1.418, 1.798, 2.591, 2.494, 104, 1.418, 1.798, 20.500 
1497271598.178873, 1.408, 1.834, 2.655, 2.510, 104, 1.408, 1.834, 20.500 
1497271599.099022, 1.995, 1.792, 2.581, 2.459, 104, 1.995, 1.792, 20.500 
1497271600.018977, 1.566, 1.818, 2.552, 2.449, 82, 1.566, 1.818, 20.500 
1497271600.938959, 1.044, 1.766, 2.562, 2.459, 104, 1.044, 1.766, 20.500 
1497271601.859004, 1.279, 1.840, 2.630, 2.552, 104, 1.279, 1.840, 20.500 
1497271602.778893, 1.676, 1.792, 2.552, 2.433, 104, 1.676, 1.792, 20.500 
1497271603.698870, 1.760, 1.792, 2.572, 2.452, 104, 1.760, 1.792, 20.500 
1497271604.619022, 1.363, 1.795, 2.591, 2.530, 104, 1.363, 1.795, 20.500 
1497271605.538985, 2.062, 1.824, 2.639, 2.556, 104, 2.062, 1.824, 20.500 
1497271606.458998, 1.283, 1.776, 2.581, 2.494, 104, 1.283, 1.776, 20.500 
1497271607.379010, 1.383, 1.834, 2.655, 2.565, 104, 1.383, 1.834, 20.500 
1497271608.298883, 1.624, 1.805, 2.565, 2.462, 104, 1.624, 1.805, 20.500 
1497271609.218855, 1.299, 1.792, 2.565, 2.475, 104, 1.299, 1.792, 20.500 
1497271610.138863, 1.569, 1.792, 2.597, 2.552, 104, 1.569, 1.792, 20.500 
1497271611.058873, 1.908, 1.792, 2.562, 2.491, 104, 1.908, 1.792, 20.500 
1497271611.978857, 1.656, 1.840, 2.581, 2.462, 104, 1.656, 1.840, 20.500 
1497271612.898855, 1.598, 1.805, 2.568, 2.485, 104, 1.598, 1.805, 20.500 
1497271613.818863, 1.673, 1.792, 2.527, 2.452, 104, 1.673, 1.792, 20.500 
1497271614.738888, 1.634, 1.830, 2.581, 2.478, 104, 1.634, 1.830, 20.500 
1497271615.659030, 1.537, 1.805, 2.655, 2.536, 104, 1.537, 1.805, 20.500 
1497271616.578989, 1.547, 1.785, 2.575, 2.520, 128, 1.547, 1.785, 20.500 
1497271617.498956, 1.299, 1.782, 2.530, 2.433, 112, 1.299, 1.782, 20.500 
1497271618.419000, 1.392, 1.805, 2.578, 2.475, 112, 1.392, 1.805, 20.500 
1497271619.338890, 1.766, 1.792, 2.575, 2.475, 112, 1.766, 1.792, 20.500 
1497271620.258908, 1.624, 1.840, 2.675, 2.494, 112, 1.624, 1.840, 20.500 
1497271621.178871, 1.582, 1.837, 2.665, 2.485, 112, 1.582, 1.837, 20.500 
1497271622.099018, 1.721, 1.785, 2.581, 2.485, 112, 1.721, 1.785, 20.500 
1497271623.018975, 1.782, 1.808, 2.562, 2.465, 9, 1.782, 1.808, 20.500 
1497271623.938961, 1.328, 1.876, 2.723, 2.614, 112, 1.328, 1.876, 20.500 
1497271624.858997, 1.850, 1.798, 2.562, 2.498, 112, 1.850, 1.798, 20.500 
1497271625.778888, 1.499, 1.782, 2.617, 2.510, 112, 1.499, 1.782, 20.500 
1497271626.699005, 1.637, 1.789, 2.633, 2.536, 112, 1.637, 1.789, 20.500 
1497271627.619007, 1.450, 1.805, 2.617, 2.552, 112, 1.450, 1.805, 20.500 
1497271628.538980, 1.550, 1.789, 2.562, 2.459, 112, 1.550, 1.789, 20.500 
1497271629.458917, 1.679, 1.827, 2.575, 2.423, 74, 1.679, 1.827, 20.500 
1497271630.378949, 1.624, 1.866, 2.668, 2.639, 112, 1.624, 1.866, 20.500 
1497271631.298999, 1.934, 1.792, 2.552, 2.494, 112, 1.934, 1.792, 20.500 
1497271632.218872, 1.908, 1.792, 2.614, 2.552, 112, 1.908, 1.792, 20.500 
1497271633.139004, 1.772, 1.805, 2.617, 2.536, 112, 1.772, 1.805, 20.500 
1497271634.058897, 1.959, 1.805, 2.568, 2.452, 112, 1.959, 1.805, 20.500 
1497271634.978990, 1.843, 1.843, 2.614, 2.478, 112, 1.843, 1.843, 20.500 
1497271635.898976, 1.711, 1.795, 2.607, 2.546, 27, 1.711, 1.795, 20.500 
1497271636.818958, 0.509, 1.743, 2.452, 2.398, 120, 0.509, 1.743, 20.500 
1497271637.739011, 1.666, 1.818, 2.639, 2.552, 120, 1.666, 1.818, 20.500 
1497271638.658949, 1.734, 1.830, 2.630, 2.475, 120, 1.734, 1.830, 20.500 
1497271639.578876, 1.946, 1.805, 2.575, 2.452, 120, 1.946, 1.805, 20.500 
1497271640.498997, 1.563, 1.785, 2.536, 2.514, 120, 1.563, 1.785, 20.500 
1497271641.418987, 1.805, 1.840, 2.649, 2.552, 120, 1.805, 1.840, 20.500 
1497271642.339010, 1.866, 1.792, 2.565, 2.475, 120, 1.866, 1.792, 20.500 
1497271643.258896, 1.499, 1.792, 2.575, 2.459, 120, 1.499, 1.792, 20.500 
1497271644.178998, 2.021, 1.776, 2.530, 2.498, 120, 2.021, 1.776, 20.500 
1497271645.099012, 1.776, 1.827, 2.655, 2.501, 120, 1.776, 1.827, 20.500 
1497271646.019018, 1.805, 1.782, 2.552, 2.443, 19, 1.805, 1.782, 20.500 
1497271646.938982, 1.360, 1.850, 2.701, 2.601, 120, 1.360, 1.850, 20.500 
1497271647.859017, 1.859, 1.814, 2.607, 2.562, 120, 1.859, 1.814, 20.500 
1497271648.778944, 2.256, 1.776, 2.562, 2.546, 120, 2.256, 1.776, 20.500 
1497271649.698899, 1.676, 1.776, 2.617, 2.536, 120, 1.676, 1.776, 20.500 
1497271650.619034, 1.943, 1.763, 2.527, 2.485, 120, 1.943, 1.763, 20.500 
1497271651.539036, 1.843, 1.766, 2.562, 2.475, 120, 1.843, 1.766, 20.500 
1497271652.458909, 1.943, 1.766, 2.617, 2.514, 120, 1.943, 1.766, 20.500 
1497271653.379016, 2.085, 1.772, 2.562, 2.498, 120, 2.085, 1.772, 20.500 
1497271654.299034, 1.611, 1.792, 2.639, 2.527, 17, 1.611, 1.792, 20.500 
1497271655.218987, 0.973, 1.776, 2.588, 2.523, 120, 0.973, 1.776, 20.500 
1497271656.139032, 1.521, 1.814, 2.701, 2.588, 120, 1.521, 1.814, 20.500 
1497271657.058906, 1.618, 1.766, 2.565, 2.501, 120, 1.618, 1.766, 20.500 
1497271657.978889, 2.227, 1.808, 2.678, 2.572, 120, 2.227, 1.808, 20.500 
1497271658.899036, 1.569, 1.772, 2.562, 2.459, 120, 1.569, 1.772, 20.500 
1497271659.818956, 1.940, 1.772, 2.562, 2.433, 99, 1.940, 1.772, 20.500 
1497271660.738979, 1.228, 1.727, 2.514, 2.411, 128, 1.228, 1.727, 20.500 
1497271661.659055, 2.217, 1.805, 2.649, 2.575, 128, 2.217, 1.805, 20.500 
1497271662.578891, 1.763, 1.779, 2.578, 2.452, 128, 1.763, 1.779, 20.500 
1497271663.498885, 1.772, 1.766, 2.562, 2.552, 128, 1.772, 1.766, 20.500 
1497271664.418994, 2.188, 1.766, 2.527, 2.485, 73, 2.188, 1.766, 20.500 
1497271665.338991, 1.557, 1.727, 2.504, 2.398, 128, 1.557, 1.727, 20.500 
1497271666.259545, 1.740, 1.795, 2.617, 2.630, 128, 1.740, 1.795, 20.500 
1497271667.198945, 2.362, 1.808, 2.607, 2.552, 128, 2.362, 1.808, 20.500 
1497271668.118865, 1.959, 1.792, 2.617, 2.520, 128, 1.959, 1.792, 20.500 
1497271669.038900, 1.634, 1.824, 2.701, 2.504, 128, 1.634, 1.824, 20.500 
1497271669.959302, 2.024, 1.779, 2.575, 2.485, 128, 2.024, 1.779, 20.500 
1497271670.878951, 2.307, 1.779, 2.565, 2.449, 128, 2.307, 1.779, 20.500 
1497271671.798996, 1.772, 1.808, 2.591, 2.504, 0, 1.772, 1.808, 20.500 
1497271672.718981, 0.806, 1.727, 2.498, 2.423, 128, 0.806, 1.727, 20.500 
1497271673.639030, 2.166, 1.792, 2.568, 2.449, 128, 2.166, 1.792, 20.500 
1497271674.558924, 2.266, 1.792, 2.630, 2.536, 128, 2.266, 1.792, 20.500 
1497271675.478930, 1.624, 1.763, 2.562, 2.536, 128, 1.624, 1.763, 20.500 
1497271676.398878, 1.805, 1.830, 2.597, 2.465, 128, 1.805, 1.830, 20.500 
1497271677.318887, 2.059, 1.824, 2.655, 2.494, 128, 2.059, 1.824, 20.500 
1497271678.238951, 2.056, 1.776, 2.601, 2.552, 128, 2.056, 1.776, 20.500 
1497271679.158913, 1.763, 1.814, 2.672, 2.562, 128, 1.763, 1.814, 20.500 
1497271680.079056, 1.879, 1.818, 2.633, 2.581, 128, 1.879, 1.818, 20.500 
1497271680.998998, 2.314, 1.808, 2.655, 2.568, 55, 2.314, 1.808, 20.500 
1497271681.918985, 1.560, 1.766, 2.630, 2.510, 128, 1.560, 1.766, 20.500 
